I0,I1,I2,I3
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
-0.480401,-0.47229,-5.399864,-7.827881
-0.48009,-0.472133,-5.374229,-8.12085
-0.479935,-0.471819,-5.828339,-8.216064
-0.479625,-0.471505,-5.839325,-8.274666
-0.47947,-0.471191,-5.711143,-8.677498
-0.47916,-0.471034,-6.139618,-8.219727
-0.479004,-0.470719,-6.121307,-8.640877
-0.478693,-0.470405,-6.121307,-9.109634
-0.478383,-0.47009,-6.011444,-8.443123
-0.478227,-0.469932,-6.524147,-9.278099
-0.477916,-0.469617,-6.483864,-8.992447
-0.477604,-0.469302,-6.28611,-9.318382
-0.477449,-0.468986,-6.593727,-9.820099
-0.477137,-0.468671,-6.253151,-8.959488
-0.476981,-0.468355,-6.242157,-9.878693
-0.47667,-0.46804,-6.56443,-9.248795
-0.476514,-0.467724,-6.531471,-9.116959
-0.476202,-0.467407,-6.399635,-9.702904
-0.47589,-0.467249,-7.348137,-9.951935
-0.475734,-0.466933,-7.241928,-10.523232
-0.475421,-0.466617,-6.82811,-10.167999
-0.475265,-0.4663,-6.963608,-9.589378
-0.474952,-0.465825,-6.531471,-10.109406
-0.474796,-0.465507,-7.124741,-10.55619
-0.474484,-0.465349,-7.296867,-10.233917
-0.47417,-0.464873,-7.073471,-10.772263
-0.474014,-0.464714,-7.22728,-10.999313
-0.473701,-0.464238,-7.37011,-10.852829
-0.473388,-0.46392,-7.739983,-11.094528
-0.473231,-0.463443,-7.813232,-10.893112
-0.472917,-0.463125,-8.036621,-10.625771
-0.472761,-0.462806,-7.754639,-11.14946
-0.472447,-0.462488,-7.641106,-11.728081
