I0,I1,I2,I3
-0.479004,-0.468197,-6.77684,-10.413368
-0.478538,-0.467724,-6.791489,-10.193634
-0.478227,-0.467407,-7.432365,-10.614784
-0.477916,-0.466933,-7.359123,-10.310829
-0.477449,-0.466458,-7.659416,-11.061569
-0.477137,-0.465983,-8.131836,-10.636757
-0.476826,-0.465666,-7.296867,-10.285194
-0.476514,-0.46519,-7.604485,-10.614784
-0.476046,-0.464873,-7.549553,-10.775925
-0.475734,-0.464396,-7.849854,-11.284966
-0.475421,-0.46392,-7.875488,-10.995651
-0.475109,-0.463443,-7.692375,-11.288628
-0.47464,-0.463125,-8.124512,-11.3106
-0.474327,-0.462647,-7.923096,-10.662392
-0.474014,-0.462328,-7.417717,-11.358208
-0.473701,-0.46185,-8.20874,-11.372856
-0.473231,-0.461531,-8.977798,-11.544975
-0.472917,-0.461052,-8.007324,-11.911194
-0.472604,-0.460733,-8.454102,-11.907532
-0.47229,-0.460253,-8.281982,-11.936829
-0.471819,-0.459774,-8.651871,-11.892883
-0.471505,-0.459454,-8.992447,-12.010071
-0.471191,-0.458973,-9.215836,-11.808655
-0.470876,-0.458653,-8.673843,-11.837952
-0.470562,-0.458172,-8.919205,-12.149231
-0.47009,-0.457851,-9.069351,-11.775696
-0.469774,-0.457369,-9.296402,-12.376289
-0.469459,-0.457048,-9.219498,-11.632866
-0.468986,-0.456566,-9.281754,-12.541084
-0.468671,-0.456244,-9.358658,-12.621651
-0.468355,-0.455922,-9.263443,-12.405586
-0.46804,-0.455439,-9.267105,-12.401924
-0.467723,-0.455117,-9.029068,-12.965897
-0.467407,-0.454633,-9.329361,-13.02449
-0.466933,-0.454149,-9.574738,-13.119705
-0.466617,-0.453826,-9.801788,-13.515221
-0.4663,-0.453342,-9.882355,-13.70565
-0.465824,-0.453018,-9.940948,-13.507896
-0.465507,-0.452533,-10.417023,-14.555275
-0.465031,-0.452047,-10.801559,-13.983978
-0.464714,-0.451561,-10.662399,-13.712975
-0.464396,-0.451237,-10.94072,-13.888763
-0.46392,-0.45075,-10.329132,-14.291603
-0.463602,-0.450426,-10.54155,-13.947357
-0.463284,-0.449938,-10.457306,-14.075531
-0.462965,-0.44945,-10.534225,-13.907074
-0.462487,-0.449125,-10.849167,-13.786224
-0.462169,-0.448637,-10.314484,-13.56649
-0.46185,-0.448311,-10.812546,-14.104828
-0.461531,-0.447985,-10.713669,-13.614098
-0.461212,-0.447496,-10.691696,-14.368507
-0.460733,-0.447169,-10.468292,-13.852142
-0.460413,-0.446679,-10.849167,-14.661476
-0.460094,-0.446353,-11.233688,-14.331886
-0.459774,-0.446026,-10.984665,-14.353859
-0.459294,-0.445535,-11.317917,-14.324562
-0.458973,-0.445207,-12.11261,-14.185394
-0.458653,-0.44488,-11.717102,-14.624855
-0.458172,-0.444552,-11.160446,-13.844818
-0.457851,-0.444224,-12.189514,-14.547951
-0.457369,-0.443732,-12.068665,-13.811859
-0.457048,-0.443403,-12.368958,-14.093842
-0.456727,-0.443075,-11.519348,-14.621193
-0.456244,-0.442746,-11.885559,-14.621193
-0.455923,-0.442417,-12.292053,-14.613869
-0.4556,-0.442088,-12.04303,-14.734718
-0.455117,-0.441759,-11.530334,-14.969101
-0.454795,-0.441429,-11.958801,-14.361183
-0.454472,-0.4411,-12.281067,-14.339211
-0.453988,-0.44077,-11.988098,-15.240097
-0.453665,-0.44044,-12.310364,-14.976425
-0.453342,-0.439944,-12.621658,-15.357292
-0.453018,-0.439614,-12.310364,-15.595329
-0.452695,-0.439283,-12.456848,-15.928589
-0.452371,-0.438953,-12.317688,-15.848022
-0.452048,-0.438621,-12.292053,-15.196152
-0.451886,-0.43829,-12.328674,-15.445183
-0.451399,-0.437959,-12.171204,-15.738152
-0.451075,-0.437627,-11.808655,-15.921265
-0.45075,-0.437295,-12.405579,-15.928589
-0.450426,-0.436964,-12.431213,-15.84436
-0.450101,-0.436631,-12.775467,-16.591438
-0.449775,-0.436299,-12.786453,-15.712517
-0.449613,-0.4358,-13.189285,-15.580681
-0.449288,-0.435468,-12.749832,-15.606316
-0.448962,-0.435135,-12.947586,-15.61364
-0.448637,-0.434802,-13.127029,-15.899292
-0.448311,-0.434635,-12.669266,-15.979858
-0.447822,-0.434302,-13.251541,-16.269173
-0.447659,-0.433968,-13.47493,-16.023804
-0.447169,-0.433468,-13.998627,-15.833374
-0.446843,-0.433301,-13.808197,-15.782104
-0.446516,-0.432966,-13.566498,-15.617302
-0.446189,-0.432632,-13.595795,-16.203247
-0.445862,-0.432465,-13.76059,-16.159302
-0.445535,-0.43213,-13.91806,-16.181274
-0.445207,-0.431795,-14.335541,-16.261848
-0.44488,-0.431628,-14.324554,-16.217896
-0.444552,-0.431293,-13.910736,-16.485237
-0.444224,-0.430957,-14.412445,-16.353401
-0.443896,-0.430622,-14.493011,-16.22522
-0.443567,-0.430454,-14.43808,-15.833374
-0.443239,-0.430118,-14.800644,-16.071411
-0.44291,-0.429951,-14.500351,-16.360725
-0.442581,-0.429614,-13.965668,-16.254524
-0.442252,-0.429278,-14.225677,-16.433968
-0.441923,-0.42911,-14.580917,-16.547493
-0.441594,-0.428773,-14.313568,-16.609749
-0.441429,-0.428437,-14.309906,-16.159302
-0.440934,-0.428268,-14.643173,-16.866104
-0.44077,-0.427931,-14.346527,-17.195694
-0.44044,-0.427594,-13.983978,-16.800186
-0.440274,-0.427425,-14.024261,-16.668343
-0.439944,-0.427256,-13.954681,-16.71595
-0.439779,-0.426919,-13.965668,-17.184708
-0.439448,-0.426412,-14.181732,-17.576561
-0.439118,-0.426243,-13.416336,-17.580223
-0.438953,-0.426074,-14.064545,-17.642479
-0.438621,-0.425736,-14.364838,-17.345848
-0.438456,-0.425397,-14.709091,-17.382469
-0.438124,-0.425228,-14.419769,-17.023575
-0.437793,-0.424889,-14.873886,-17.301903
-0.437627,-0.42472,-14.661484,-17.192032
-0.437295,-0.42455,-14.463715,-17.268944
-0.436964,-0.424211,-14.60289,-17.030899
-0.436797,-0.424041,-15.441513,-17.276268
-0.436465,-0.423702,-15.771118,-17.799957
-0.436133,-0.423362,-14.998398,-17.452049
-0.435967,-0.423192,-14.888535,-17.268944
-0.435634,-0.422853,-15.2108,-17.327538
-0.435468,-0.422683,-15.28038,-17.624168
-0.435135,-0.422342,-15.708862,-17.565575
-0.434968,-0.422172,-15.342636,-18.034332
-0.434635,-0.421831,-15.203476,-17.638817
-0.434302,-0.421661,-15.199814,-17.997711
-0.434135,-0.42132,-15.7052,-17.935455
-0.433801,-0.42115,-15.661255,-18.016022
-0.433468,-0.420809,-15.822388,-18.261391
-0.4333,-0.420638,-16.071411,-17.89151
-0.432966,-0.420467,-15.815063,-18.005035
-0.432799,-0.420126,-15.987183,-18.38224
-0.432465,-0.419955,-16.130005,-18.418861
