I0,I1,I2,I3
-0.389592,-0.367871,-18.162506,-21.557335
-0.389592,-0.367684,-18.36026,-21.799042
-0.389411,-0.367495,-18.470123,-21.429161
-0.389231,-0.367307,-18.558029,-21.88327
-0.38905,-0.367307,-18.363922,-21.414513
-0.38887,-0.367119,-18.232086,-21.729454
-0.388689,-0.366931,-18.363922,-21.681847
-0.388508,-0.366743,-18.814377,-22.000458
-0.388327,-0.366366,-18.118561,-21.758759
-0.388147,-0.366178,-17.741364,-22.271461
-0.387966,-0.365989,-17.935455,-21.619591
-0.387966,-0.3658,-18.448151,-21.79538
-0.387785,-0.3658,-18.477448,-21.919891
-0.387603,-0.365612,-18.704514,-21.579308
-0.387423,-0.365423,-19.012131,-22.033417
-0.387241,-0.365234,-18.396881,-22.35569
-0.38706,-0.365045,-19.04509,-22.059052
-0.386879,-0.364857,-19.056076,-22.0737
-0.386697,-0.364668,-19.279465,-21.916229
-0.386516,-0.364479,-18.609299,-22.253151
-0.386335,-0.364289,-19.18425,-21.25338
-0.386153,-0.3641,-19.297775,-21.524376
-0.385972,-0.363911,-19.100021,-22.557106
-0.38579,-0.363722,-18.935226,-21.711143
-0.385608,-0.363722,-18.649582,-21.593956
-0.385426,-0.363532,-18.345612,-21.498741
-0.385245,-0.363343,-19.638367,-22.179901
-0.385063,-0.363153,-19.261154,-22.165253
-0.385063,-0.363153,-19.583435,-22.619362
-0.384881,-0.362964,-19.250168,-22.666969
-0.384699,-0.362774,-19.118332,-22.568092
-0.384517,-0.362584,-19.206223,-22.220184
-0.384335,-0.362394,-19.118332,-22.282448
-0.384153,-0.362205,-18.957199,-22.35569
-0.38397,-0.362014,-18.971848,-21.960175
-0.383606,-0.361824,-19.689636,-22.106659
-0.383423,-0.361824,-19.100021,-22.234833
-0.383241,-0.361634,-18.942551,-22.40696
-0.383058,-0.361444,-19.642029,-22.370338
-0.382875,-0.361254,-19.407639,-21.861298
-0.382693,-0.361254,-19.312424,-22.443581
-0.38251,-0.361063,-19.803162,-22.048065
-0.382327,-0.361063,-19.425949,-22.187225
-0.382144,-0.360873,-18.990158,-22.319069
-0.381961,-0.360683,-19.550476,-21.696495
-0.381779,-0.360683,-19.389328,-22.099335
-0.381595,-0.360492,-19.682312,-22.146942
-0.381412,-0.360492,-18.829025,-21.769745
-0.381229,-0.360301,-19.561462,-22.253151
-0.381046,-0.360111,-19.770203,-22.300758
-0.380862,-0.35992,-19.598083,-21.960175
-0.380679,-0.35992,-19.389328,-22.037079
-0.380496,-0.35973,-19.136642,-21.744102
-0.380496,-0.35973,-19.814148,-22.128632
-0.380312,-0.359538,-19.535828,-22.015106
-0.379945,-0.359347,-20.290222,-21.766083
-0.379945,-0.359157,-20.121765,-21.938202
-0.379761,-0.359157,-19.528503,-21.993134
-0.379578,-0.359157,-19.136642,-21.74044
-0.379578,-0.358966,-19.700623,-22.30442
