I0,I1,I2,I3
-0.423702,-0.422683,-19.631042,-19.869080
-0.423702,-0.422683,-19.642029,-19.704277
-0.423702,-0.422683,-19.682312,-19.971619
-0.423702,-0.422683,-19.737244,-19.711601
-0.423702,-0.422683,-19.583435,-19.462578
-0.423702,-0.422683,-19.407639,-20.037537
-0.423702,-0.422683,-19.385666,-19.945984
-0.423702,-0.422683,-19.905701,-20.000916
-0.423702,-0.422683,-19.521179,-19.239182
-0.423702,-0.422683,-18.949875,-19.001144
-0.423702,-0.422683,-19.338058,-19.806824
-0.423702,-0.422683,-19.217209,-20.085144
-0.423702,-0.422683,-19.392990,-20.429390
-0.423702,-0.422683,-19.081711,-19.693291
-0.423702,-0.422683,-19.396652,-19.674980
-0.423702,-0.422683,-19.125656,-20.107117
-0.423702,-0.422683,-19.154953,-19.447929
-0.423702,-0.422683,-19.176926,-20.121765
-0.423702,-0.422683,-18.675217,-20.066833
-0.423702,-0.422683,-19.056076,-19.902039
-0.423702,-0.422683,-19.275803,-19.715263
-0.423702,-0.422683,-19.400314,-19.733574
-0.423702,-0.422683,-19.283127,-20.033875
-0.423702,-0.422683,-19.869080,-19.803162
-0.423702,-0.422683,-19.425949,-19.433281
-0.423702,-0.422683,-19.484543,-19.524834
-0.423702,-0.422683,-20.000916,-19.704277
-0.423702,-0.422683,-19.605408,-19.546806
-0.423702,-0.422683,-19.125656,-19.891052
-0.423702,-0.422683,-19.836121,-19.594414
-0.423702,-0.422683,-19.308762,-20.052185
-0.423702,-0.422683,-19.565125,-20.004578
-0.423702,-0.422683,-19.612732,-19.499199
-0.423702,-0.422683,-19.180588,-19.685966
-0.423702,-0.422683,-19.257492,-19.894714
-0.423702,-0.422683,-19.103683,-19.934998
-0.423702,-0.422683,-19.513855,-20.081482
-0.423702,-0.422683,-19.239182,-19.726250
-0.423702,-0.422683,-19.726257,-19.967957
-0.423702,-0.422683,-19.360031,-20.000916
-0.423702,-0.422512,-19.598083,-19.510185
-0.423702,-0.422683,-19.466232,-19.898376
-0.423702,-0.422683,-19.576111,-19.382011
-0.423702,-0.422683,-19.645691,-20.004578
-0.423532,-0.422512,-19.392990,-19.883728
-0.423702,-0.422683,-18.781418,-19.781189
-0.423702,-0.422512,-18.543381,-19.671318
-0.423702,-0.422683,-19.905701,-19.480888
-0.423702,-0.422683,-18.902267,-19.620049
-0.423702,-0.422683,-18.759445,-19.565117
-0.423702,-0.422683,-19.327072,-19.803162
-0.423702,-0.422683,-19.191574,-19.872742
-0.423702,-0.422683,-19.261154,-19.799500
-0.423702,-0.422683,-18.931564,-19.880066
-0.423702,-0.422683,-19.228195,-19.751892
-0.423702,-0.422683,-19.876404,-19.100021
-0.423702,-0.422683,-19.316086,-19.784851
-0.423702,-0.422683,-19.902039,-19.931335
-0.423702,-0.422683,-19.700623,-19.924011
-0.423702,-0.422683,-19.418625,-19.806824
-0.423702,-0.422683,-19.777527,-20.205994
-0.423702,-0.422683,-19.539490,-19.598076
-0.423702,-0.422683,-19.268478,-19.913025
-0.423702,-0.422683,-19.715271,-19.803162
-0.423702,-0.422683,-18.913254,-20.249939
-0.423702,-0.422683,-20.136414,-19.770203
-0.423702,-0.422683,-19.627380,-19.444267
-0.423702,-0.422512,-19.451584,-19.418633
-0.423702,-0.422683,-18.880295,-20.345161
-0.423702,-0.422512,-18.997482,-20.440376
-0.423702,-0.422683,-19.653015,-20.517281
-0.423702,-0.422683,-19.162277,-19.510185
-0.423702,-0.422683,-19.019455,-19.898376
-0.423702,-0.422683,-19.565125,-19.444267
-0.423702,-0.422683,-19.173264,-19.715263
-0.423702,-0.422683,-19.506531,-19.733574
-0.423702,-0.422683,-19.275803,-19.872742
-0.423702,-0.422683,-18.711838,-19.612724
-0.423702,-0.422683,-19.297775,-19.715263
-0.423702,-0.422683,-19.341721,-19.235519
-0.423702,-0.422683,-19.817810,-19.184250
-0.423702,-0.422683,-19.726257,-20.605171
-0.423702,-0.422683,-19.759216,-20.319527
-0.423702,-0.422512,-19.250168,-19.924011
-0.423702,-0.422683,-18.814377,-19.759216
-0.423702,-0.422512,-19.048752,-19.638359
-0.423702,-0.422512,-19.396652,-20.044861
-0.423702,-0.422683,-19.356369,-19.656670
-0.423702,-0.422683,-19.319748,-19.861755
-0.423702,-0.422683,-20.304871,-20.151062
-0.423702,-0.422683,-19.821472,-19.744560
-0.423702,-0.422683,-19.649353,-19.894714
-0.423702,-0.422683,-19.674988,-20.081482
-0.423702,-0.422683,-19.766541,-19.696953
-0.423702,-0.422683,-19.568787,-20.033875
-0.423702,-0.422512,-19.685974,-20.216980
-0.423702,-0.422683,-19.220871,-20.352486
-0.423532,-0.422683,-19.444260,-19.854431
-0.423702,-0.422512,-19.349045,-19.986267
-0.423702,-0.422683,-19.484543,-20.125427
