I0,I1,I2,I3
-0.334096,-0.340875,0.001831,-0.001831
-0.413943,-0.415322,-20.850540,-19.480888
-0.413943,-0.415322,-20.224304,-19.883728
-0.413943,-0.415322,-20.359802,-20.037537
-0.413943,-0.415495,-20.740677,-20.187683
-0.413943,-0.415495,-20.187683,-19.568779
-0.413770,-0.415322,-20.011902,-19.762878
-0.413943,-0.415322,-20.846878,-20.286568
-0.413943,-0.415322,-20.341492,-20.162048
-0.413943,-0.415322,-20.070496,-19.579765
-0.413943,-0.415322,-20.557571,-20.315865
-0.413770,-0.415322,-20.165710,-20.466011
-0.413943,-0.415322,-20.132751,-20.074158
-0.413770,-0.415495,-20.447693,-19.594414
-0.413770,-0.415495,-20.074158,-19.891052
-0.413770,-0.415495,-19.825134,-19.773865
-0.413943,-0.415495,-20.019226,-19.927673
-0.413770,-0.415322,-20.066833,-19.660332
-0.413770,-0.415322,-20.136414,-19.894714
-0.413770,-0.415322,-20.293884,-19.902039
-0.413770,-0.415322,-20.726028,-20.125427
-0.413943,-0.415322,-20.674759,-20.162048
-0.413943,-0.415322,-20.227966,-19.660332
-0.413943,-0.415322,-20.389099,-19.583427
-0.413770,-0.415495,-20.630814,-19.762878
-0.413770,-0.415495,-20.583206,-19.766541
-0.413770,-0.415495,-20.348816,-19.521172
-0.413770,-0.415495,-20.652786,-19.096359
-0.413770,-0.415495,-20.271912,-19.642021
-0.413770,-0.415495,-20.290222,-19.528496
-0.413770,-0.415495,-20.151062,-20.037537
-0.413770,-0.415495,-20.184021,-20.264595
-0.413770,-0.415495,-19.883728,-19.858093
-0.413770,-0.415495,-19.638367,-19.869080
-0.413770,-0.415495,-20.286560,-19.554131
-0.413770,-0.415495,-20.341492,-19.942322
-0.413770,-0.415495,-20.945755,-19.660332
-0.413770,-0.415495,-20.147400,-20.205994
-0.413770,-0.415495,-20.630814,-20.048523
-0.413770,-0.415322,-20.473328,-20.125427
-0.413770,-0.415495,-19.605408,-19.876404
-0.413770,-0.415495,-19.751892,-19.902039
-0.413770,-0.415322,-19.121994,-19.803162
