I0,I1,I2,I3
-0.427762,-0.429446,-20.154724,-19.129318
-0.427762,-0.429446,-19.557800,-18.810715
-0.427762,-0.429446,-20.286560,-19.528496
-0.427762,-0.429446,-20.044861,-20.268257
-0.427762,-0.429446,-19.550476,-19.447929
-0.427762,-0.429446,-18.935226,-19.784851
-0.427762,-0.429446,-19.660339,-19.605400
-0.427762,-0.429446,-19.887390,-19.469902
-0.427762,-0.429446,-20.275574,-19.729912
-0.427762,-0.429446,-19.773865,-19.264824
-0.427762,-0.429446,-20.011902,-19.620049
-0.427762,-0.429446,-19.660339,-19.092697
-0.427762,-0.429446,-19.477219,-19.202560
-0.427762,-0.429446,-20.055847,-20.030212
-0.427762,-0.429446,-19.242844,-19.784851
-0.427762,-0.429446,-19.220871,-19.224533
-0.427762,-0.429446,-19.953308,-19.488213
-0.427762,-0.429446,-19.751892,-19.425957
-0.427762,-0.429446,-20.528275,-19.663994
-0.427762,-0.429446,-20.301208,-19.568779
-0.427762,-0.429446,-19.942322,-19.290459
-0.427762,-0.429446,-19.924011,-19.645683
-0.427762,-0.429446,-19.920349,-19.594414
-0.427594,-0.429446,-20.004578,-19.378349
-0.427762,-0.429446,-19.931335,-19.554131
-0.427762,-0.429446,-20.081482,-19.521172
-0.427594,-0.429278,-19.795837,-19.111008
-0.427594,-0.429446,-19.781189,-19.114670
-0.427594,-0.429446,-19.751892,-19.169601
-0.427594,-0.429446,-20.286560,-19.107346
-0.427594,-0.429446,-19.880066,-19.268486
-0.427594,-0.429446,-19.938660,-19.689629
-0.427762,-0.429446,-20.129089,-19.565117
-0.427594,-0.429446,-19.283127,-19.792175
-0.427594,-0.429446,-19.642029,-18.616615
-0.427594,-0.429446,-20.114441,-19.488213
-0.427762,-0.429446,-19.839783,-19.477226
-0.427594,-0.429446,-20.015564,-19.539482
-0.427594,-0.429446,-20.751663,-19.473564
-0.427594,-0.429446,-19.967957,-18.748451
-0.427594,-0.429446,-19.762878,-19.235519
-0.427594,-0.429446,-19.425949,-20.074158
-0.427425,-0.429446,-20.352478,-19.349052
-0.427425,-0.429446,-19.726257,-19.089035
-0.427594,-0.429446,-19.803162,-19.261162
-0.427594,-0.429446,-19.473557,-19.004807
-0.427594,-0.429446,-19.616394,-19.524834
-0.427594,-0.429446,-19.704285,-19.532158
-0.427594,-0.429446,-19.883728,-19.502861
-0.427594,-0.429446,-19.839783,-19.605400
-0.427594,-0.429446,-20.077820,-19.015793
-0.427594,-0.429446,-20.440369,-19.334404
-0.427425,-0.429446,-20.524612,-19.392998
-0.427425,-0.429446,-20.374451,-19.352715
-0.427594,-0.429446,-19.495529,-19.425957
-0.427594,-0.429446,-19.759216,-19.462578
-0.427425,-0.429446,-19.733582,-18.660561
-0.427425,-0.429446,-19.718933,-19.491875
-0.427425,-0.429446,-19.953308,-19.198898
-0.427425,-0.429446,-19.920349,-19.012131
-0.427594,-0.429446,-18.774094,-19.414970
-0.427425,-0.429446,-19.294113,-19.777527
-0.427425,-0.429446,-19.737244,-19.642021
-0.427425,-0.429446,-19.037766,-19.403984
-0.427425,-0.429446,-19.821472,-19.403984
-0.427425,-0.429446,-20.268250,-19.488213
-0.427425,-0.429446,-20.418396,-19.407646
-0.427425,-0.429446,-20.055847,-18.840012
-0.427425,-0.429446,-19.653015,-19.425957
-0.427425,-0.429446,-19.191574,-20.253609
-0.427425,-0.429446,-19.975281,-19.674980
-0.427425,-0.429446,-19.605408,-19.502861
-0.427425,-0.429446,-19.843445,-19.418633
-0.427425,-0.429446,-19.953308,-19.078049
-0.427425,-0.429446,-19.781189,-19.198898
-0.427425,-0.429446,-19.396652,-19.414970
-0.427425,-0.429446,-19.469894,-19.627373
-0.427425,-0.429446,-20.059509,-19.458916
-0.427425,-0.429446,-20.323181,-19.294121
-0.427425,-0.429446,-20.447693,-19.140305
-0.427425,-0.429446,-20.608841,-18.766769
-0.427425,-0.429446,-19.810486,-18.605629
-0.427425,-0.429446,-19.363693,-18.825363
-0.427425,-0.429446,-20.253601,-19.869080
-0.427257,-0.429446,-19.458908,-19.839783
-0.427425,-0.429446,-19.832458,-19.111008
-0.427425,-0.429446,-19.803162,-18.865646
-0.427425,-0.429446,-19.766541,-19.114670
-0.427425,-0.429446,-20.125427,-19.290459
-0.427425,-0.429446,-19.777527,-18.803391
-0.427425,-0.429446,-19.436935,-19.224533
-0.427425,-0.429446,-19.982605,-19.279472
-0.427425,-0.429446,-20.550247,-19.550468
-0.427425,-0.429446,-20.154724,-18.730141
-0.427425,-0.429446,-19.711609,-19.403984
-0.427425,-0.429446,-19.678650,-19.275810
-0.427425,-0.429446,-20.151062,-19.546806
-0.427425,-0.429446,-20.246277,-19.931335
-0.427425,-0.429446,-20.352478,-19.678642
-0.427257,-0.429446,-20.689407,-19.766541
-0.427425,-0.429446,-19.631042,-19.480888
-0.427257,-0.429446,-19.294113,-19.799500
-0.427425,-0.429446,-20.216980,-19.784851
-0.427425,-0.429446,-20.147400,-19.799500
-0.427425,-0.429446,-19.843445,-19.927673
-0.427425,-0.429446,-20.070496,-19.488213
-0.427425,-0.429446,-19.473557,-19.129318
-0.427425,-0.429446,-20.195007,-19.312431
-0.427257,-0.429446,-19.960632,-19.052414
-0.427425,-0.429446,-20.140076,-19.195236
-0.427257,-0.429446,-19.605408,-19.290459
-0.427257,-0.429446,-20.066833,-19.231857
-0.427257,-0.429446,-20.066833,-19.231857
-0.427257,-0.429446,-19.631042,-19.847107
-0.427257,-0.429446,-20.000916,-19.792175
-0.427257,-0.429446,-19.982605,-19.587090
-0.427257,-0.429446,-19.891052,-19.096359
-0.427257,-0.429446,-20.008240,-19.920349
-0.427257,-0.429446,-19.524841,-19.759216
-0.427257,-0.429446,-20.048523,-19.414970
-0.427257,-0.429446,-19.290451,-19.286797
-0.427257,-0.429446,-19.883728,-19.081711
-0.427257,-0.429446,-20.268250,-19.488213
-0.427257,-0.429446,-20.447693,-19.037766
-0.427257,-0.429446,-20.187683,-19.649345
-0.427257,-0.429446,-19.934998,-19.015793
-0.427257,-0.429446,-20.015564,-19.312431
-0.427257,-0.429446,-20.400085,-19.543144
-0.427257,-0.429446,-20.400085,-19.817810
-0.427257,-0.429446,-19.795837,-19.096359
-0.427257,-0.429446,-20.129089,-19.301445
