I0,I1,I2,I3
-0.372175,-0.375704,-20.821243,-21.626915
-0.372175,-0.375704,-21.524384,-21.158157
-0.372175,-0.375704,-21.399857,-21.696495
-0.372175,-0.375519,-21.663544,-21.407188
-0.372175,-0.375704,-20.887161,-21.326622
-0.372175,-0.375519,-21.546356,-20.876175
-0.372175,-0.375519,-21.407181,-20.967728
-0.372175,-0.375704,-21.685516,-21.718468
-0.372175,-0.375704,-21.396194,-21.65255
-0.372175,-0.375704,-21.769745,-21.216751
-0.372175,-0.375704,-21.670868,-21.348595
-0.372175,-0.375704,-21.714813,-20.301216
-0.372175,-0.375704,-21.879608,-21.879608
-0.372175,-0.375704,-21.564667,-21.473106
-0.372175,-0.375704,-21.989471,-21.139847
-0.372175,-0.375704,-21.747772,-21.143509
-0.372175,-0.375704,-21.454788,-21.399864
-0.372175,-0.375704,-21.777069,-21.139847
-0.372175,-0.375704,-21.923553,-21.198441
-0.372175,-0.375704,-21.791718,-21.491417
-0.372175,-0.375704,-21.297318,-20.978714
-0.372175,-0.375704,-21.659882,-21.062943
-0.372175,-0.375704,-21.989471,-21.663536
-0.372175,-0.375704,-22.070038,-22.02243
-0.372175,-0.375704,-21.495071,-21.202103
-0.372175,-0.375519,-22.223846,-21.103226
-0.372175,-0.375704,-22.113983,-21.103226
-0.372175,-0.375704,-21.890594,-21.520714
-0.372175,-0.375704,-21.945526,-20.993362
-0.372175,-0.375704,-22.055389,-21.011673
-0.372175,-0.375704,-21.722137,-21.198441
-0.372175,-0.375704,-21.949188,-21.407188
-0.372175,-0.375704,-22.055389,-21.744102
-0.372175,-0.375519,-21.894257,-21.447472
-0.372175,-0.375704,-22.366669,-21.286339
-0.372175,-0.375704,-21.7258,-21.198441
-0.372175,-0.375704,-22.029755,-21.429161
-0.372175,-0.375519,-22.209198,-20.890823
-0.372175,-0.375519,-22.033417,-21.311974
-0.372175,-0.375519,-21.930878,-21.473106
-0.372175,-0.375704,-21.821014,-22.000458
-0.372175,-0.375704,-21.542694,-22.051727
-0.372175,-0.375704,-22.040741,-21.5317
-0.372175,-0.375704,-21.513397,-21.363243
-0.372175,-0.375704,-22.055389,-20.861526
-0.372175,-0.375704,-22.157928,-21.487755
-0.372175,-0.375519,-21.645233,-22.282448
-0.372175,-0.375519,-22.267792,-21.564659
-0.372175,-0.375519,-21.850311,-21.619591
-0.372175,-0.375519,-22.007782,-21.27169
